ID;OBJETO;MATERIAL;PROCEDENCIA;FECHA INGRESO;EDAD;FECHA;CULTURA;SECCION;SERIE;NUMINV
975;PUÑAL;ACERO, MADERA;DONACIÓN;28/06/03;;;;METAL;ARMAS;974
2267;CUENTA;AGATA;ARCOS;27/05/14;ANTIGUA;;ROMANA;ORFEBRERÍA;CUENTAS;2289
2265;CUENTA;AGATA;ARCOS;27/05/14;ANTIGUA;;ROMANA;ORFEBRERÍA;CUENTAS;2287
2266;CUENTA;AGATA;ARCOS;27/05/14;ANTIGUA;;ROMANA;ORFEBRERÍA;CUENTAS;2288
2264;CUENTA;AGATA;ARCOS;27/05/14;ANTIGUA;;ROMANA;ORFEBRERÍA;CUENTAS;2286
1956;HACHA;AGATA;ARCOS;27/05/14;PREHISTORIA;;NEOLÍTICO;LÍTICA;HACHAS;1955
26651;CUENTA;AGATA;C/ ACACIAS Nº 25/2005;;ANTIGUA;;ROMANA;ORFEBRERÍA;CUENTAS;28343
20541;ENTALLE;AGATA;CARISSA AURELIA/85;;ANTIGUA;s. II - I a.C.;ROMANA;GLÍPTICA;ENTALLES;22223
20542;ENTALLE;AGATA;CARISSA AURELIA/85;;ANTIGUA;s. II - I a.C.;ROMANA;GLÍPTICA;ENTALLES;22224
30566;ENTALLE;AGATA;CARTEIA/2009;DJ/09/10;ANTIGUA;;ROMANA;GLÍPTICA;ENTALLES;31947
33534;ENTALLE;AGATA;CARTEIA. HALLAZGO CASUAL. SAN ROQUE;DJ/16/06;ANTIGUA;;ROMANA ;GLÍPTICA;ENTALLES;33687
16704;ENTALLE;AGATA;CARTEIA. SAN ROQUE;1978;ANTIGUA;s. II d.C.;ROMANA;GLÍPTICA;ENTALLES;16682
6597;CUENTA;AGATA;INSTITUTO NACIONAL DE PREVISIÓN;18/05/53;ANTIGUA;;;ORFEBRERÍA;CUENTAS;6619
6598;CUENTA;AGATA;INSTITUTO NACIONAL DE PREVISIÓN;18/05/53;ANTIGUA;;;ORFEBRERÍA;CUENTAS;6620
6596;CUENTA;AGATA;INSTITUTO NACIONAL DE PREVISIÓN;18/05/53;ANTIGUA;;;ORFEBRERÍA;CUENTAS;6618
16695;ENTALLE;AGATA;LA ALGAIDA. SANLÚCAR DE BARRAMEDA;1983;ANTIGUA;s. II - I a.C.;ROMANA;GLÍPTICA;ENTALLES;16674
26270;CUENTA;AGATA;LA ALGAIDA. SANLÚCAR DE BARRAMEDA;;ANTIGUA;;FENICIA - PÚNICA;ORFEBRERÍA;CUENTAS;27962
17317;CUENTA;AGATA;LA ALGAIDA. SANLÚCAR DE BARRAMEDA;;ANTIGUA;s. V-II a.C.;FENICIA;ORFEBRERÍA;CUENTAS;17293
17318;CUENTA;AGATA;LA ALGAIDA. SANLÚCAR DE BARRAMEDA;;ANTIGUA;s. V-II a.C.;FENICIA;ORFEBRERÍA;CUENTAS;17294
34005;CUENTA;AGATA;LA CORACHA. SETENIL;DJ/16/52;MODERNA;s. XVII;HISPÁNICA;ORFEBRERÍA;CUENTAS;34159
34004;CUENTA;AGATA;LA CORACHA. SETENIL;DJ/16/52;MODERNA;s. XVII;HISPÁNICA;ORFEBRERÍA;CUENTAS;34158
5014;CUENTA;AGATA;PUERTA TIERRA. CÁDIZ;ANTERIOR A 1917;;;;ORFEBRERÍA;CUENTAS;5036
4986;CUENTA;AGATA;ZONA POLÉMICA. CÁDIZ;01/03/43;ANTIGUA;;ROMANA;ORFEBRERÍA;CUENTAS;5008
4234;COLLAR;AGATA, PASTA;PLAYA DE LOS NÚMEROS. CÁDIZ;;ANTIGUA;S. V-IV a.C.;FENICIA;ORFEBRERÍA;COLLARES;4256
23239;COPA;ALABASTRO;ALMILCAR BARCA S/N/2001;19/11/01;ANTIGUA;s. I d.C.;ROMANA;PÉTREOS;COPAS;25068
12259;URNA;ALABASTRO;AREA DE PUERTA TIERRA. CÁDIZ;;ANTIGUA;;ROMANA;MÁRMOL;URNAS;12246
30874;URNA;ALABASTRO;AVENIDA PORTUGAL/AVENIDA JUAN CARLOS I/2010;DJ/11/73 - DJ/10/44;ANTIGUA;;FENICIA - PÚNICA;PÉTREOS;URNAS;32250
28067;URNA;ALABASTRO;BAHÍA BLANCA. CÁDIZ;2007;ANTIGUA;;FENICIA;PÉTREOS;URNAS;29646
21757;URNA;ALABASTRO;C/ ESCALZO;11/02/97;ANTIGUA;s. VIII a.C.;FENICIA;PÉTREOS;URNAS;23438
21756;URNA;ALABASTRO;C/ ESCALZO;11/02/97;ANTIGUA;s. VIII a.C.;FENICIA;PÉTREOS;URNAS;23437
8307;FIGURA;ALABASTRO;C/ ORTEGA. MEDINA SIDONIA;20/09/67;;;;PÉTREOS;ESTATUAS;8329
23430;URNA;ALABASTRO;C/ SANTA CRUZ DE TENERIFE. CÁDIZ/96;1996;ANTIGUA;s. VIII - VII a.C.;FENICIA;PÉTREOS;URNAS;25259
28257;ALABASTRÓN;ALABASTRO;CARTEIA. SAN ROQUE;DJ/08/04;ANTIGUA;;ROMANA;CERÁMICA;ALABASTRÓN;29833
17057;CUENTA;ALABASTRO;CASTILLO DE DOÑA BLANCA. EL PUERTO DE SANTA MARÍA;30/09/88;ANTIGUA;s. VI a.C.;FENICIA;ORFEBRERÍA;CUENTAS;17035
17056;CUENTA;ALABASTRO;CASTILLO DE DOÑA BLANCA. EL PUERTO DE SANTA MARÍA;30/09/88;ANTIGUA;s. VI a.C.;FENICIA;ORFEBRERÍA;CUENTAS;17034
